vehicle_id,timestamp,speed,engine_temp,fuel_efficiency,ambient_temp,rpm,brake_events,fault_code,anomaly_type,anomaly_detected,anomaly_score,analysis_timestamp
VEH-001,2025-07-01,52.34,98.5,16.17,30,3227,0,,normal,0,0.0016451884,2025-07-27 16:05:16
VEH-002,2025-07-01,72.37,67.37,11.14,27,2668,4,,normal,0,0.0027613912,2025-07-27 16:05:16
VEH-003,2025-07-01,54.35,76.93,13.58,36,4797,3,,normal,0,0.44414207,2025-07-27 16:05:16
VEH-004,2025-07-01,65.08,74.99,14.05,30,2945,5,,normal,0,0.022810714,2025-07-27 16:05:16
VEH-005,2025-07-01,41.45,90.63,13.75,38,2957,1,,normal,0,0.0041885157,2025-07-27 16:05:16
VEH-006,2025-07-01,43.24,73.12,15.02,40,2785,4,,normal,0,0.0015715385,2025-07-27 16:05:16
VEH-007,2025-07-01,48.1,92.25,14.15,38,4206,2,,normal,0,0.032414943,2025-07-27 16:05:16
VEH-008,2025-07-01,38.28,94.15,12.6,25,2817,0,,normal,0,0.0118447635,2025-07-27 16:05:16
VEH-009,2025-07-01,72.4,79.9,18.24,34,2060,2,,normal,0,9.336208e-06,2025-07-27 16:05:16
VEH-010,2025-07-01,80.06,74.36,10.64,30,4367,2,,normal,0,0.06512264,2025-07-27 16:05:16
VEH-011,2025-07-01,61.43,87.79,11.87,29,2041,2,,normal,0,0.0012311591,2025-07-27 16:05:16
VEH-012,2025-07-01,77.34,106.07,15.51,38,4261,4,,normal,0,0.019724324,2025-07-27 16:05:16
VEH-013,2025-07-01,52.31,73.52,13.82,32,3227,5,,normal,0,0.03014735,2025-07-27 16:05:16
VEH-014,2025-07-01,59.86,86.68,12.33,25,2005,5,,normal,0,0.07039352,2025-07-27 16:05:16
VEH-015,2025-07-01,62.82,97.22,13.73,29,4966,2,,high_rpm,0,0.4968292,2025-07-27 16:05:16
VEH-016,2025-07-01,41.46,97.2,13.97,36,2150,4,,normal,0,0.036015563,2025-07-27 16:05:16
VEH-017,2025-07-01,49.78,64.88,14.56,37,4714,3,,normal,0,0.31763825,2025-07-27 16:05:16
VEH-018,2025-07-01,45.95,107.98,15.58,40,4523,2,,normal,0,0.12615834,2025-07-27 16:05:16
VEH-019,2025-07-01,42.48,91.42,19.2,25,3044,4,,normal,0,0.0025186962,2025-07-27 16:05:16
VEH-020,2025-07-01,66.72,81.79,13.93,38,3878,0,,normal,0,0.0016581684,2025-07-27 16:05:16
VEH-021,2025-07-01,49.81,81.91,16.35,34,2237,1,,normal,0,6.782721e-05,2025-07-27 16:05:16
VEH-022,2025-07-01,43.14,99.18,16.57,36,3815,2,,normal,0,0.019311175,2025-07-27 16:05:16
VEH-023,2025-07-01,48.81,84.17,16.96,35,2453,2,,normal,0,0.00014605101,2025-07-27 16:05:16
VEH-024,2025-07-01,65.09,87.68,16.59,30,4315,3,,normal,0,0.013376099,2025-07-27 16:05:16
VEH-025,2025-07-01,55.8,84.0,12.71,31,2948,4,,normal,0,0.0067810556,2025-07-27 16:05:16
VEH-026,2025-07-01,66.06,78.87,7.49,27,2197,0,,low_fuel_efficiency,0,0.0038593984,2025-07-27 16:05:16
VEH-027,2025-07-01,70.19,86.54,12.37,30,3600,2,,normal,0,0.005578947,2025-07-27 16:05:16
VEH-028,2025-07-01,56.59,105.98,5.04,31,3964,3,,low_fuel_efficiency,0,0.30252436,2025-07-27 16:05:16
VEH-029,2025-07-01,47.02,83.58,10.79,38,2245,6,,excessive_braking,1,0.99765027,2025-07-27 16:05:16
VEH-030,2025-07-01,45.2,92.06,11.42,32,3324,6,,excessive_braking,1,0.991902,2025-07-27 16:05:16
VEH-031,2025-07-01,49.33,87.07,13.73,33,3510,3,,normal,0,0.009814469,2025-07-27 16:05:16
VEH-032,2025-07-01,41.22,91.61,13.2,36,2455,2,,normal,0,0.007522776,2025-07-27 16:05:16
VEH-033,2025-07-01,66.78,98.79,14.78,38,4492,5,,normal,0,0.07051104,2025-07-27 16:05:16
VEH-034,2025-07-01,48.35,105.0,14.3,25,4960,4,,high_rpm,0,0.48103678,2025-07-27 16:05:16
VEH-035,2025-07-01,48.29,84.91,23.2,39,3876,4,,normal,0,0.0052681994,2025-07-27 16:05:16
VEH-036,2025-07-01,51.08,97.21,19.36,40,4332,0,,normal,0,0.013149939,2025-07-27 16:05:16
VEH-037,2025-07-01,79.15,93.34,11.93,27,3075,5,,normal,0,0.03207101,2025-07-27 16:05:16
VEH-038,2025-07-01,50.93,97.35,17.28,34,3165,4,,normal,0,0.006699911,2025-07-27 16:05:16
